ligand_name,smiles,smiles_duplicate,receptor_family,receptor,receptor_subtype,bias_category,bias_pathway,reference_ligand,assay_1,assay_2,publication_title,author,doi,pmid,year,molecular_weight,logp,hba,hbd,rings,tpsa
DBXRM,O=C1N(CCCC)C(C2=C(N1CCCC)N=CN2[C@@H]3O[C@H](C(NC)=O)[C@H]([C@H]3O)O)=O,O=C1N(CCCC)C(C2=C(N1CCCC)N=CN2[C@@H]3O[C@H](C(NC)=O)[C@H]([C@H]3O)O)=O,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / β-Arr,NECA,cAMP,β-Arrestin-recruitment,Translocation of arrestin induced by human A(3) adenosine receptor ligands in an engineered cell line: comparison with G protein-dependent pathways,"Gao,ZG",10.1016/j.phrs.2008.02.008,18424164,2008,423.47,-0.67,10,3,3,140.61
NECA,NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](C(NCC)=O)[C@@H](O)[C@H]3O,NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](C(NCC)=O)[C@@H](O)[C@H]3O,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,308.3,-1.84,9,4,3,148.41
HEMADO,CNC1=C(N=C2)C(N2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)=NC(C#CCCCC)=N1,CNC1=C(N=C2)C(N2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)=NC(C#CCCCC)=N1,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,361.4,0.02,9,4,3,125.55
MRS3558,ClC1=NC(NCC2=CC=CC(Cl)=C2)=C3N=CN([C@H]4[C@@H]([C@@H]([C@@]5(C(NC)=O)[C@@H]4C5)O)O)C3=N1,ClC1=NC(NCC2=CC=CC(Cl)=C2)=C3N=CN([C@H]4[C@@H]([C@@H]([C@@]5(C(NC)=O)[C@@H]4C5)O)O)C3=N1,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,463.33,1.77,8,4,5,125.19
MRS5655,ClC1=CC(CNC2=C3N=CN(C4C(C(C(C4)C(NC)=O)O)O)C3=NC(C#CC5=CC=CC=C5)=N2)=CC=C1,ClC1=CC(CNC2=C3N=CN(C4C(C(C(C4)C(NC)=O)O)O)C3=NC(C#CC5=CC=CC=C5)=N2)=CC=C1,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,516.99,2.52,8,4,5,125.19
MRS5667,OC1C(C(CC1N2C=NC3=C2N=C(C#CC4=CC=C(C5=CC=CC=C5)C=C4)N=C3NC)C(NC)=O)O,OC1C(C(CC1N2C=NC3=C2N=C(C#CC4=CC=C(C5=CC=CC=C5)C=C4)N=C3NC)C(NC)=O)O,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,482.54,1.96,8,4,5,125.19
MRS5679,ClC1=CC(CNC2=C3N=CN(C4C(C(C(C4)C(NC)=O)O)O)C3=NC(C#CC5=CC=C(C6=CC=CC=C6)C=C5)=N2)=CC=C1,ClC1=CC(CNC2=C3N=CN(C4C(C(C(C4)C(NC)=O)O)O)C3=NC(C#CC5=CC=C(C6=CC=CC=C6)C=C5)=N2)=CC=C1,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,593.09,4.19,8,4,6,125.19
MRS5698,ClC1=CC(CNC2=NC(C#CC3=CC=C(C(F)=C3)F)=NC4=C2N=CN4C5C(O)C(O)C(C(NC)=O)C5)=CC=C1,ClC1=CC(CNC2=NC(C#CC3=CC=C(C(F)=C3)F)=NC4=C2N=CN4C5C(O)C(O)C(C(NC)=O)C5)=CC=C1,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,552.97,2.8,8,4,5,125.19
MRS5704,ClC1=CC(CNC2=C3N=CN(C4C(C(C(C4)C(NC)=O)O)O)C3=NC(C#CC5=CC=C6C=CC7=CC=CC8C7=C6C5C=C8)=N2)=CC=C1,ClC1=CC(CNC2=C3N=CN(C4C(C(C(C4)C(NC)=O)O)O)C3=NC(C#CC5=CC=C6C=CC7=CC=CC8C7=C6C5C=C8)=N2)=CC=C1,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,643.15,2.98,8,4,8,125.19
MRS5783,OC1C(C(CC1N2C(N=C(C#CC3=CC4=CC=CC5=CC=C(C=CC=C63)C6=C54)N=C7NCC8=CC=CC(Cl)=C8)=C7N=C2)C(NC)=O)O,OC1C(C(CC1N2C(N=C(C#CC3=CC4=CC=CC5=CC=C(C=CC=C63)C6=C54)N=C7NCC8=CC=CC(Cl)=C8)=C7N=C2)C(NC)=O)O,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,641.13,5.42,8,4,8,125.19
MRS7030,OC1=C(C(NC)=O)CC(N2C(N=C(C#CC3=CC=CC=C3)N=C4N[C@H](C)[C@@H](C)C5=CC(F)=C(F)C=C5)=C4N=C2)=C1O,OC1=C(C(NC)=O)CC(N2C(N=C(C#CC3=CC=CC=C3)N=C4N[C@H](C)[C@@H](C)C5=CC(F)=C(F)C=C5)=C4N=C2)=C1O,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,556.57,4.8,8,4,5,125.19
MRS7034,OC1=C(C(NC)=O)CC(N2C(N=C(C#CC3=CC=CC=C3)N=C4N[C@@H](C)[C@H](C)C5=CC(F)=C(F)C=C5)=C4N=C2)=C1O,OC1=C(C(NC)=O)CC(N2C(N=C(C#CC3=CC=CC=C3)N=C4N[C@@H](C)[C@H](C)C5=CC(F)=C(F)C=C5)=C4N=C2)=C1O,Nucleotide,Adenosine receptor,A3 receptor,G protein,Gi / ERK,IB-MECA,cAMP,ERK-Phosphorylation,Structure-Activity Analysis of Biased Agonism at the Human Adenosine A3 Receptor,"Baltos,JA",10.1124/mol.116.103283,27136943,2016,556.57,4.8,8,4,5,125.19
BAY 60-6583,NC1=C(C#N)C(C2=CC=C(OCC3CC3)C=C2)=C(C#N)C(SCC(N)=O)=N1,NC1=C(C#N)C(C2=CC=C(OCC3CC3)C=C2)=C(C#N)C(SCC(N)=O)=N1,Nucleotide,Adenosine receptor,A2B receptor,G protein,Gs / β-Arr,NECA,cAMP,β-Arrestin-recruitment,Probing biased/partial agonism at the G protein-coupled A2B adenosine receptor,"Gao,ZG",10.1016/j.bcp.2014.05.008,24853985,2014,379.45,2.44,7,2,3,138.81
MRS3397,BrC1=CC=C2C(CCOC3=NC(N)=C4N=CN([C@@H]5O[C@H](CO)[C@H]([C@H]5O)O)C4=N3)=CNC2=C1,BrC1=CC=C2C(CCOC3=NC(N)=C4N=CN([C@@H]5O[C@H](CO)[C@H]([C@H]5O)O)C4=N3)=CNC2=C1,Nucleotide,Adenosine receptor,A2B receptor,G protein,Gs / β-Arr,NECA,cAMP,β-Arrestin-recruitment,Translocation of arrestin induced by human A(3) adenosine receptor ligands in an engineered cell line: comparison with G protein-dependent pathways,"Gao,ZG",10.1016/j.phrs.2008.02.008,18424164,2008,505.33,0.89,10,5,5,164.56
MRS5911,IC1=CC=C(NC2=C3N=CN([C@@H]4O[C@H](CO)[C@H]([C@H]4O)O)C3=NC=N2)C=C1,IC1=CC=C(NC2=C3N=CN([C@@H]4O[C@H](CO)[C@H]([C@H]4O)O)C3=NC=N2)C=C1,Nucleotide,Adenosine receptor,A2B receptor,G protein,Gs / β-Arr,NECA,cAMP,β-Arrestin-recruitment,Translocation of arrestin induced by human A(3) adenosine receptor ligands in an engineered cell line: comparison with G protein-dependent pathways,"Gao,ZG",10.1016/j.phrs.2008.02.008,18424164,2008,469.24,0.79,9,4,4,125.55
MM07,N[C@H](C(N[C@@H](CCCNC(N)=N)C(N1[C@@H](CCC1)C(N[C@@H](CCCNC(N)=N)C(N[C@H]2CC(C)C)=O)=O)=O)=O)CSSC[C@@H](C(N[C@@H](CC3=CNC=N3)C(N[C@@H](CCCCN)C(NCC(N4[C@@H](CCC4)C(N[C@@H](CCSC)C(N5[C@@H](CCC5)C(N[C@@H](CC6=CC=CC=C6)C(O)=O)=O)=O)=O)=O)=O)=O)=O)NC2=O,N[C@H](C(N[C@@H](CCCNC(N)=N)C(N1[C@@H](CCC1)C(N[C@@H](CCCNC(N)=N)C(N[C@H]2CC(C)C)=O)=O)=O)=O)CSSC[C@@H](C(N[C@@H](CC3=CNC=N3)C(N[C@@H](CCCCN)C(NCC(N4[C@@H](CCC4)C(N[C@@H](CCSC)C(N5[C@@H](CCC5)C(N[C@@H](CC6=CC=CC=C6)C(O)=O)=O)=O)=O)=O)=O)=O)=O)NC2=O,Peptide,Apelin receptor,Apelin receptor,G protein,G protein / β-Arr,Apelin-13,Other,β-Arrestin-recruitment,"Design, characterization, and first-in-human study of the vascular actions of a novel biased apelin receptor agonist","Brame,AL",10.1161/HYPERTENSIONAHA.114.05099,25712721,2015,1539.93,-3.58,21,19,6,564.65
